Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,14.730000,17.000000,11.500000,16.820000,14.940308,123823500
2008-02-01,16.799999,18.990000,13.240000,13.350000,11.858094,86989700
2008-03-01,13.270000,14.600000,7.940000,8.600000,7.638923,145022500
2008-04-01,8.940000,10.890000,6.500000,8.510000,7.558980,259364300
2008-05-01,8.640000,9.020000,5.370000,6.150000,5.462718,217144800
2008-06-01,6.250000,7.030000,4.800000,5.700000,5.063005,294082900
2008-07-01,5.470000,8.790000,4.000000,7.540000,6.697380,414284600
2008-08-01,7.810000,10.260000,6.920000,8.130000,7.221447,366022300
2008-09-01,9.320000,10.100000,6.460000,7.450000,6.617439,413846300
2008-10-01,7.640000,11.900000,5.100000,10.980000,9.752950,434949100
2008-11-01,11.140000,12.000000,6.290000,8.810000,7.825456,255987000
2008-12-01,8.600000,11.640000,7.800000,11.460000,10.179308,249927900
2009-01-01,11.310000,12.650000,6.740000,6.900000,6.128902,268512000
2009-02-01,7.090000,7.670000,4.860000,5.030000,4.467882,275129100
2009-03-01,4.850000,6.450000,3.510000,5.630000,5.000830,302426500
2009-04-01,5.520000,8.270000,5.360000,6.170000,5.480483,329175000
2009-05-01,6.280000,7.880000,5.400000,5.810000,5.160713,285442300
2009-06-01,6.090000,7.250000,5.310000,5.790000,5.142949,273395900
2009-07-01,5.820000,6.950000,5.560000,6.930000,6.155550,236887900
2009-08-01,7.040000,7.790000,6.550000,7.220000,6.413142,203721800
2009-09-01,7.120000,9.880000,6.740000,8.960000,7.958693,317881100
2009-10-01,8.950000,9.200000,6.920000,7.140000,6.342082,277153900
2009-11-01,7.140000,8.190000,6.780000,8.190000,7.274741,155565700
2009-12-01,8.310000,12.080000,8.200000,11.380000,10.108248,326898000
2010-01-01,11.220000,13.730000,10.950000,12.230000,10.863257,334450000
2010-02-01,12.370000,13.210000,10.930000,12.920000,11.476148,215161100
2010-03-01,12.930000,14.900000,12.330000,14.590000,12.959522,236270900
2010-04-01,14.630000,14.940000,11.950000,12.080000,10.730021,320889200
2010-05-01,12.300000,14.480000,10.900000,13.580000,12.062391,291751900
2010-06-01,13.310000,14.500000,11.240000,11.750000,10.436900,242373500
2010-07-01,11.970000,12.400000,10.400000,11.880000,10.552373,214598200
2010-08-01,12.080000,12.800000,9.600000,10.460000,9.291063,190329500
2010-09-01,10.830000,12.000000,10.400000,11.640000,10.339194,163448700
2010-10-01,11.750000,14.100000,10.960000,13.890000,12.337749,230192000
2010-11-01,13.900000,14.540000,12.870000,13.680000,12.151217,206887700
2010-12-01,13.960000,14.100000,12.150000,12.600000,11.191910,198093300
2011-01-01,12.690000,13.210000,11.110000,11.670000,10.365842,324281300
2011-02-01,11.750000,12.130000,10.370000,11.240000,9.983893,341922300
2011-03-01,11.260000,11.640000,9.710000,9.800000,8.704822,452248800
2011-04-01,9.890000,10.700000,8.910000,10.380000,9.220002,375167700
2011-05-01,10.660000,11.600000,9.910000,10.080000,8.953527,331129700
2011-06-01,10.080000,10.180000,9.100000,9.170000,8.145224,295128600
2011-07-01,9.240000,9.410000,7.280000,7.890000,7.008266,318176700
2011-08-01,8.200000,8.240000,6.410000,7.530000,6.688499,397106500
2011-09-01,7.550000,8.570000,7.060000,7.500000,6.661850,242961900
2011-10-01,7.390000,8.980000,6.640000,8.520000,7.567863,269119600
2011-11-01,8.200000,8.500000,7.080000,8.120000,7.212564,263450700
2011-12-01,8.040000,9.130000,7.930000,8.090000,7.185917,232763800
2012-01-01,8.230000,10.880000,7.830000,10.550000,9.371003,264433700
2012-02-01,10.680000,11.580000,9.400000,9.810000,8.713704,211720500
2012-03-01,9.800000,10.280000,9.070000,9.920000,8.811407,277353800
2012-04-01,9.880000,11.120000,9.780000,10.960000,9.735185,224817200
2012-05-01,11.140000,12.250000,10.030000,12.100000,10.747785,292242800
2012-06-01,12.020000,12.040000,9.890000,10.950000,9.726300,291373700
2012-07-01,11.110000,11.250000,9.080000,9.650000,8.571578,265618800
2012-08-01,9.490000,9.930000,8.460000,8.650000,7.683334,277357400
2012-09-01,8.660000,9.700000,8.420000,9.160000,8.136340,200072700
2012-10-01,9.120000,10.490000,9.110000,9.630000,8.553818,215469500
