Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,28.360001,34.160000,25.830000,33.250000,27.864040,2337400
2007-02-01,33.459999,36.509998,30.160000,34.459999,28.878036,2072000
2007-03-01,33.270000,35.070000,30.590000,31.500000,26.397512,1840800
2007-04-01,31.500000,33.990002,31.049999,32.090000,26.891935,1467900
2007-05-01,32.250000,35.650002,27.530001,31.750000,26.607012,5834200
2007-06-01,31.900000,33.380001,30.410000,30.740000,25.760620,2429300
2007-07-01,30.840000,33.990002,29.180000,29.389999,24.629297,1576900
2007-08-01,29.350000,34.000000,28.600000,29.000000,24.302467,2869800
2007-09-01,28.860001,30.680000,27.559999,30.320000,25.408649,1649100
2007-10-01,30.299999,38.740002,29.900000,36.020000,30.185341,2295700
2007-11-01,35.889999,36.340000,30.820000,35.400002,29.665779,2516500
2007-12-01,35.009998,36.580002,31.959999,32.139999,26.933840,1363300
2008-01-01,32.070000,32.459999,19.969999,31.280001,26.213148,3682800
2008-02-01,31.559999,32.180000,27.010000,27.209999,22.802418,3178900
2008-03-01,27.650000,28.440001,22.520000,26.420000,22.140387,2332300
2008-04-01,26.860001,28.719999,19.650000,27.250000,22.835941,3388000
2008-05-01,27.129999,28.930000,20.350000,20.900000,17.514538,3767500
2008-06-01,20.879999,24.430000,18.520000,18.590000,15.578723,6171200
2008-07-01,18.260000,25.480000,15.890000,24.680000,20.682241,8467600
2008-08-01,24.580000,32.139999,23.290001,31.010000,25.986883,6738800
2008-09-01,31.900000,35.939999,30.280001,35.320000,29.598732,6918400
2008-10-01,34.450001,40.990002,23.520000,39.830002,33.378189,7766300
2008-11-01,40.840000,44.580002,32.419998,43.139999,36.152016,6436200
2008-12-01,42.009998,49.060001,37.070000,48.570000,40.702446,8401200
2009-01-01,48.980000,48.980000,33.290001,35.759998,29.967453,15498300
2009-02-01,36.660000,36.980000,32.389999,34.320000,28.760723,8236300
2009-03-01,34.590000,46.209999,32.070000,45.459999,38.096214,10280600
2009-04-01,42.110001,57.520000,40.529999,52.040001,43.610359,15600600
2009-05-01,51.750000,56.189999,37.669998,40.340000,33.805576,15672800
2009-06-01,40.799999,45.509998,33.200001,39.639999,33.218964,10583300
2009-07-01,40.459999,47.450001,37.209999,43.310001,36.294479,9713300
2009-08-01,43.189999,43.490002,36.610001,39.189999,32.841858,6595000
2009-09-01,39.000000,44.290001,35.750000,38.090000,31.920036,6568200
2009-10-01,37.830002,42.500000,34.880001,37.709999,31.601589,10441100
2009-11-01,37.750000,42.610001,37.720001,41.230000,34.551407,4677300
2009-12-01,41.360001,48.990002,41.360001,47.169998,39.529228,8782200
2010-01-01,47.180000,53.820000,47.169998,51.200001,42.906429,8175100
2010-02-01,51.299999,53.990002,49.740002,52.139999,43.694168,4291500
2010-03-01,52.150002,59.040001,51.439999,57.860001,48.487617,6456100
2010-04-01,57.959999,58.119999,49.500000,51.430000,43.099178,8612300
2010-05-01,51.480000,56.279999,47.840000,55.290001,46.333912,5176600
2010-06-01,55.150002,55.320000,42.040001,42.689999,36.306969,6301000
2010-07-01,43.130001,46.369999,42.070000,44.389999,37.752777,5655300
2010-08-01,44.869999,45.880001,37.080002,37.630001,32.003529,5834000
2010-09-01,38.090000,43.930000,37.049999,42.320000,35.992271,4612400
2010-10-01,42.779999,47.919998,38.119999,47.110001,40.066078,5680300
2010-11-01,47.349998,50.740002,44.779999,49.930000,42.464432,4981400
2010-12-01,50.790001,52.950001,47.509998,49.240002,41.877590,4324100
2011-01-01,49.630001,52.349998,46.110001,46.540001,39.581299,3210800
2011-02-01,46.180000,46.180000,39.209999,41.270000,35.099274,6501700
2011-03-01,41.150002,44.400002,40.610001,43.810001,37.259499,5408900
2011-04-01,44.090000,45.610001,38.950001,44.869999,38.161007,3624100
2011-05-01,44.990002,47.980000,43.840000,45.610001,38.790367,3111200
