Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,2.375000,3.500000,1.625000,2.937500,2.830314,1324800
1996-02-01,3.000000,3.500000,2.437500,2.875000,2.770094,1194800
1996-03-01,2.937500,3.062500,2.750000,2.937500,2.830314,770700
1996-04-01,2.875000,3.937500,2.875000,3.250000,3.131411,2038400
1996-05-01,3.312500,6.375000,3.250000,6.000000,5.781065,4804500
1996-06-01,6.000000,7.062500,4.437500,5.000000,4.817556,2833800
1996-07-01,4.937500,5.125000,3.750000,4.000000,3.854044,897100
1996-08-01,4.000000,4.000000,3.250000,3.375000,3.251850,1072200
1996-09-01,3.375000,4.375000,3.250000,4.000000,3.854044,4010200
1996-10-01,3.875000,4.000000,3.375000,3.750000,3.613166,1040200
1996-11-01,3.750000,3.750000,3.312500,3.375000,3.251850,1059100
1996-12-01,3.375000,3.500000,3.000000,3.375000,3.251850,1893600
1997-01-01,3.375000,3.562500,3.125000,3.437500,3.312069,958000
1997-02-01,3.375000,4.250000,3.312500,4.062500,3.914264,1130000
1997-03-01,3.937500,3.937500,3.437500,3.562500,3.432508,1273700
1997-04-01,3.500000,3.812500,3.125000,3.812500,3.673386,788100
1997-05-01,3.687500,4.312500,3.437500,4.125000,3.974483,1774100
1997-06-01,4.062500,5.000000,4.062500,5.000000,4.817556,1949600
1997-07-01,5.000000,5.250000,4.812500,5.250000,5.058433,1475300
1997-08-01,5.187500,5.250000,4.250000,5.000000,4.817556,1555000
1997-09-01,4.937500,5.000000,4.250000,4.687500,4.516459,707900
1997-10-01,4.812500,4.812500,3.500000,4.562500,4.396019,681300
1997-11-01,4.312500,4.500000,3.750000,4.000000,3.854044,388900
1997-12-01,4.125000,4.250000,3.500000,3.812500,3.673386,629900
1998-01-01,3.750000,3.812500,3.250000,3.437500,3.312069,328200
1998-02-01,3.437500,3.750000,2.625000,3.500000,3.372289,1069300
1998-03-01,3.562500,3.625000,3.187500,3.437500,3.312069,902300
1998-04-01,3.312500,3.500000,2.812500,3.000000,2.890533,956300
1998-05-01,3.000000,3.000000,2.500000,2.625000,2.529216,1180100
1998-06-01,2.625000,2.750000,2.187500,2.500000,2.408778,998500
1998-07-01,2.500000,2.687500,2.187500,2.500000,2.408778,931700
1998-08-01,2.500000,3.000000,2.250000,2.500000,2.408778,998300
1998-09-01,2.312500,2.500000,1.500000,2.125000,2.047462,816600
1998-10-01,2.000000,2.687500,1.750000,2.625000,2.529216,1114800
1998-11-01,2.500000,3.500000,2.500000,3.125000,3.010972,1543500
1998-12-01,3.000000,3.250000,2.750000,3.250000,3.131411,564600
1999-01-01,2.937500,3.187500,2.750000,3.000000,2.890533,815500
1999-02-01,3.000000,3.000000,2.375000,2.562500,2.468997,1054900
1999-03-01,2.687500,2.812500,2.375000,2.687500,2.589436,823900
1999-04-01,2.750000,2.875000,2.500000,2.750000,2.649656,722800
1999-05-01,2.812500,3.000000,2.687500,2.750000,2.649656,702000
1999-06-01,2.812500,2.875000,2.500000,2.812500,2.709875,1853400
1999-07-01,2.687500,2.875000,2.625000,2.687500,2.589436,769300
1999-08-01,2.812500,2.812500,2.187500,2.500000,2.408778,1317800
1999-09-01,2.437500,2.500000,2.187500,2.312500,2.228119,381600
1999-10-01,2.250000,2.375000,2.000000,2.250000,2.167900,514500
1999-11-01,2.250000,2.500000,2.062500,2.187500,2.107680,617300
1999-12-01,2.187500,2.375000,2.000000,2.125000,2.047462,1307500
2000-01-01,2.062500,2.187500,1.875000,1.937500,1.866802,912600
2000-02-01,1.937500,2.062500,1.812500,1.875000,1.806583,673700
2000-03-01,1.875000,2.500000,1.750000,2.375000,2.288339,1185100
2000-04-01,2.187500,2.562500,2.062500,2.125000,2.047462,794700
2000-05-01,2.250000,2.687500,2.062500,2.500000,2.408778,1424300
2000-06-01,2.500000,2.875000,2.375000,2.625000,2.529216,734200
2000-07-01,2.625000,2.750000,2.312500,2.312500,2.228119,479300
2000-08-01,2.250000,2.625000,2.250000,2.500000,2.408778,5425900
2000-09-01,2.500000,2.625000,2.375000,2.500000,2.408778,348100
2000-10-01,2.500000,2.500000,2.000000,2.000000,1.927022,357800
2000-11-01,2.125000,2.250000,1.875000,2.062500,1.987241,407400
2000-12-01,2.125000,2.250000,1.750000,1.812500,1.746364,746700
2001-01-01,1.812500,2.500000,1.812500,2.300000,2.216075,466800
2001-02-01,2.300000,2.500000,2.300000,2.500000,2.408778,318600
2001-03-01,2.450000,3.250000,2.150000,3.250000,3.131411,545700
2001-04-01,3.000000,3.050000,2.300000,2.900000,2.794182,457600
2001-05-01,3.000000,3.240000,2.800000,3.080000,2.967614,634300
2001-06-01,3.070000,3.300000,3.020000,3.250000,3.131411,302700
2001-07-01,3.250000,3.500000,3.150000,3.260000,3.141047,321600
2001-08-01,3.420000,3.430000,2.850000,3.000000,2.890533,372900
2001-09-01,3.040000,3.040000,1.700000,2.200000,2.119725,542100
2001-10-01,2.150000,2.980000,2.060000,2.400000,2.312427,299100
2001-11-01,2.200000,2.650000,2.150000,2.420000,2.331697,373900
2001-12-01,2.520000,4.050000,2.300000,4.000000,3.854044,3136500
2002-01-01,4.000000,4.430000,3.750000,4.000000,3.854044,2237600
2002-02-01,4.000000,4.470000,3.850000,4.450000,4.287624,1358300
2002-03-01,4.450000,4.600000,2.350000,3.050000,2.938709,1431400
2002-04-01,3.140000,3.240000,2.800000,3.160000,3.044695,1491900
2002-05-01,3.200000,3.620000,3.000000,3.490000,3.362653,838100
2002-06-01,3.550000,4.000000,3.350000,3.650000,3.516815,344900
2002-07-01,3.650000,3.690000,2.300000,2.800000,2.697831,286900
2002-08-01,2.700000,3.030000,2.300000,2.830000,2.726736,245400
2002-09-01,2.830000,3.000000,2.270000,2.480000,2.389507,250400
2002-10-01,2.540000,2.540000,2.200000,2.380000,2.293157,384300
2002-11-01,2.200000,2.380000,1.900000,2.100000,2.023373,280400
2002-12-01,2.100000,2.500000,1.550000,2.040000,1.965562,791500
2003-01-01,1.940000,2.150000,1.850000,1.990000,1.917387,627400
2003-02-01,1.920000,2.010000,1.380000,1.400000,1.348916,569300
2003-03-01,1.380000,1.700000,1.010000,1.500000,1.445266,340100
2003-04-01,1.500000,1.500000,0.360000,1.000000,0.963511,1351200
2003-05-01,1.000000,1.100000,0.650000,0.720000,0.693728,2139000
2003-06-01,0.740000,0.960000,0.290000,0.880000,0.847890,5109900
2003-07-01,0.900000,0.960000,0.750000,0.800000,0.770809,1080800
2003-08-01,0.800000,1.150000,0.650000,0.800000,0.770809,2049500
2003-09-01,0.800000,1.930000,0.730000,1.240000,1.194754,5872300
2003-10-01,1.240000,1.520000,1.000000,1.380000,1.329645,2480300
2003-11-01,1.450000,2.750000,1.270000,2.750000,2.649656,2302000
2003-12-01,2.660000,3.180000,2.170000,2.990000,2.880898,2026400
2004-01-01,3.000000,4.150000,2.470000,3.930000,3.786599,2684000
2004-02-01,3.930000,5.100000,2.660000,3.690000,3.555356,5801400
